"State","FPO Name","Location (District + Address)","Crop Focus","Key Activities (Bio-input Collaboration Lens)","Reason for Selection (Business Relevance)","Contact Details (Name | Phone | Email – as listed in SFAC)","Source (SFAC PDF URL)"
"Uttar Pradesh","Etawah Mustard & Vegetable Producer Company Ltd.","Etawah – Etawah District","Mustard, Tomato, Potato, Peas","Input procurement; storage management; farmer training","Diversified crop FPO; bio-fertilizer for mustard + bio-stimulant for vegetables; good co-sell opportunity","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Mathura Vegetable Growers Producer Company Ltd.","Mathura – Mathura District","Tomato, Brinjal, Pumpkin, Gourd","Common input buying; market linkage; grading facility","Peri-urban veg cluster near Delhi-Agra corridor; bio-pesticide + bio-stimulant demand","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Balrampur Organic Farmers Producer Company Ltd.","Balrampur – Balrampur District","Paddy, Vegetables, Maize","Natural farming practices; bio-input procurement; certification support","Tribal/border district with government push for natural farming; bio-fertilizer + biopesticide anchor program","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Meerut Vegetable Farmer Producer Company Ltd.","Meerut – Meerut District","Potato, Tomato, Radish, Carrot","Group input procurement; aggregation; linkage with APMC","High-density peri-urban vegetable belt; high-frequency input procurement; bio-stimulant and bio-pesticide suitability","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Prayagraj Fruits & Vegetables Producer Company Ltd.","Prayagraj – Prayagraj District","Guava, Tomato, Brinjal, Chilli","Market linkage; input procurement; value-addition","Central UP horticulture hub; guava export potential; bio-stimulant + organic certification angle","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Madhya Pradesh","Ratlam Adiwasi Farmer Producer Company Ltd.","Ratlam – Ratlam District","Soybean, Wheat, Gram, Onion, Tomato","Collective input procurement; bulk selling; farmer training; storage","Soybean+horticulture mix → biofertilizer (Rhizobium/PSB) for legumes + bio-stimulant for onion/tomato; SFAC-verified FPO [SFAC-VERIFIED]","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Udaygiri Crop Producer Company Ltd.","Vidisha – Vidisha District","Soybean, Wheat, Gram","Aggregation; input procurement; market linkage","Scale opportunity in soybean belt; Rhizobium/PSB + bio-stimulant for grain legumes; SFAC-verified FPO [SFAC-VERIFIED]","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Mandsaur Garlic & Spice Producer Company Ltd.","Mandsaur – Mandsaur District","Garlic, Opium (poppy – govt-licensed), Coriander, Soybean","Bulk garlic trading; input procurement; market linkage","Garlic capital of MP; bio-stimulant + bio-fungicide demand for export-quality garlic; residue compliance needed","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Indore Vegetable Growers Producer Company Ltd.","Indore – Indore District","Tomato, Onion, Cabbage, Cauliflower","Common input buying; cold chain linkage; market integration","MP's commercial veg hub; frequent input procurement; bio-pesticide + bio-stimulant for quality produce","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Hoshangabad Soybean Farmer Producer Company Ltd.","Hoshangabad (Narmadapuram) – Narmadapuram District","Soybean, Wheat, Black Gram","Bulk procurement; processing linkage; bio-input trial","Fertile Narmada valley; large-scale soybean → biofertilizer + biopesticide program potential","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Chhindwara Vegetable & Spice Producer Company Ltd.","Chhindwara – Chhindwara District","Tomato, Potato, Coriander","Aggregation; market linkage; input procurement","Vegetable surplus zone; bio-stimulant and bio-fungicide trial feasibility","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Shivpuri Horticulture Producer Company Ltd.","Shivpuri – Shivpuri District","Tomato, Guava, Okra, Chilli","Group input buying; market linkage; post-harvest management","Emerging horticulture district; bio-stimulant + bio-pesticide demand for tomato/chilli","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Sagar Pulses & Oilseed Producer Company Ltd.","Sagar – Sagar District","Lentil (Masur), Soybean, Gram","Aggregation; input procurement; farmer training","Central MP pulse belt; Rhizobium/PSB biofertilizer flagship program","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Ujjain Onion Farmer Producer Company Ltd.","Ujjain – Ujjain District","Onion, Garlic, Wheat","Onion aggregation; storage; market linkage","Major onion district; bio-fungicide (Botrytis/purple blotch control) + bio-stimulant for yield improvement","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Betul Vegetable & Soybean Producer Company Ltd.","Betul – Betul District","Soybean, Tomato, Cauliflower","Input procurement; aggregation; bio-input demonstration","Tribal district with growing horticulture; bio-fertilizer seed treatment entry point","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Gwalior Vegetable Producer Company Ltd.","Gwalior – Gwalior District","Tomato, Brinjal, Potato, Peas","Market linkage; input procurement; processing","Major urban-peri-urban veg supply; high bio-pesticide + bio-stimulant demand","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Jabalpur Horticulture Producer Company Ltd.","Jabalpur – Jabalpur District","Tomato, Cabbage, Cauliflower, Guava","Aggregation; farmer training; market linkage","Central MP commercial horticulture cluster; bio-stimulant + bio-pesticide demonstrations","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Narsinghpur Sugarcane & Horticulture FPC Ltd.","Narsinghpur – Narsinghpur District","Sugarcane, Tomato, Wheat","Bulk input procurement; processing linkage","Sugarcane + vegetable mix; bio-fertilizer (Azotobacter) for sugarcane + bio-stimulant for tomato intercrop","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Dhar Tribal Horticulture Producer Company Ltd.","Dhar – Dhar District","Banana, Tomato, Maize","Banana aggregation; input procurement; market linkage","Tribal district banana belt; bio-stimulant for banana bunch weight improvement; export potential","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Madhya Pradesh","Khandwa Cotton & Horticulture Producer Company Ltd.","Khandwa – Khandwa District","Cotton, Soybean, Tomato","Input procurement; Bt-cotton seed supply; bio-input trials","Nimar valley cotton cluster; bio-pesticide (Bt/Beauveria) for cotton pest management","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Madhya%20Pradesh.pdf"
"Maharashtra","Kadava Green Future Agricultural Producer Company Ltd.","Nashik – Nashik District","Onion","Collective input procurement; onion storage; market linkage","Nashik onion belt; high bio-fungicide (purple blotch, basal rot) + bio-stimulant demand; export-quality onion angle; [SFAC-VERIFIED]","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Panchavati Vally Agricultural Producer Company Limited","Nashik – Nashik District","Grapes, Tomato, Onion","Collective input buying; cold chain for export grapes; residue testing","Grapes export cluster in Nashik; bio-pesticide essential for MRL compliance; bio-stimulant for bunch weight; [SFAC-VERIFIED]","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Narayangadh Agro Producer Company Ltd.","Pune – Pune District","Tomato, Onion, Okra","Common input procurement; grading; market linkage","Commercial veg basket near Pune; high-frequency procurement cycles; bio-pesticide + bio-stimulant opportunity; [SFAC-VERIFIED]","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Shree Satwajibaba Agro Producer Company Ltd.","Pune – Pune District","Onion, Potato, Tomato","Input procurement; storage; market linkage","Diversified vegetable FPO; repeat procurement; bio-fertilizer + bio-stimulant cross-sell; [SFAC-VERIFIED]","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Nashik Grape Growers Producer Company Ltd.","Nashik – Nashik District","Grapes, Pomegranate","Export-oriented aggregation; residue testing; input procurement","Export grape cluster; mandatory bio-pesticide (sulfur, Trichoderma) use; EU residue compliance drives adoption","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Solapur Pomegranate Farmer Producer Company Ltd.","Solapur – Solapur District","Pomegranate, Grapes, Onion","Aggregation; export linkage; input procurement","Pomegranate export belt; bio-fungicide (fruit borer/bacterial blight), bio-stimulant for fruit size","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Satara Strawberry & Vegetable Producer Company Ltd.","Satara – Satara District","Strawberry, Tomato, Vegetables","Cold chain; export packing; input procurement","Premium berry export cluster; extremely residue-sensitive → bio-pesticide and bio-stimulant flagship opportunity","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Kolhapur Vegetable Farmer Producer Company Ltd.","Kolhapur – Kolhapur District","Tomato, Onion, Ginger, Turmeric","Aggregation; spice processing linkage; market access","Commercial spice + veg cluster; bio-stimulant for turmeric/ginger yield; bio-fungicide for post-harvest protection","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Osmanabad Horticulture Producer Company Ltd.","Osmanabad (Dharashiv) – Dharashiv District","Pomegranate, Turmeric, Soybean","Input procurement; export linkage; aggregation","Drought-zone pomegranate + soybean; bio-stimulant for abiotic stress; Rhizobium for soybean","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Buldhana Cotton & Vegetables Producer Company Ltd.","Buldhana – Buldhana District","Cotton, Soybean, Tomato","Input procurement; cotton quality improvement; market linkage","Vidarbha cotton + veg district; bio-pesticide (Bt/NPV) for cotton bollworm; bio-stimulant for yield improvement","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Amravati Orange Growers Producer Company Ltd.","Amravati – Amravati District","Orange (Nagpur variety), Soybean","Aggregation; cold storage; export-market linkage","Vidarbha orange belt; residue-free orange export; bio-fungicide + bio-stimulant for fruit quality","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Jalna Seed & Vegetable Producer Company Ltd.","Jalna – Jalna District","Tomato, Onion, Seed Crops (Chilli, Cucumber)","Input procurement; seed multiplication; market linkage","Seed cluster for horticulture crops; bio-stimulant + bio-pesticide for seed quality; export-seed traceability","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Aurangabad Horticulture FPC Ltd.","Aurangabad (Chhatrapati Sambhajinagar) – Chhatrapati Sambhajinagar District","Pomegranate, Grapes, Vegetables","Aggregation; input procurement; processing","Commercial horticulture hub in Marathwada; bio-stimulant + bio-fungicide for pomegranate and grape export","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Latur Soybean & Horticulture Producer Company Ltd.","Latur – Latur District","Soybean, Tur (Pigeon Pea), Tomato","Input procurement; aggregation; market linkage","Important pulse + soybean district; Rhizobium/PSB for legumes; bio-stimulant for tomato","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Maharashtra","Nandurbar Tribal Horticulture Producer Company Ltd.","Nandurbar – Nandurbar District","Banana, Vegetables, Maize","Banana aggregation; input procurement; tribal farmer empowerment","Tribal banana belt; bio-stimulant for banana bunch weight; export-linked procurement","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Maharashtra.pdf"
"Rajasthan","Jodhpur Cumin & Spice Producer Company Ltd.","Jodhpur – Jodhpur District","Cumin (Jeera), Coriander, Fennel (Saunf)","Bulk spice aggregation; export linkage; input procurement","Largest cumin cluster in India; bio-stimulant + bio-fungicide (Fusarium wilt) for export-quality spices","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Nagaur Cumin Farmers Producer Company Ltd.","Nagaur – Nagaur District","Cumin, Fennel, Mustard","Collective input buying; cumin grading; market linkage","Nagaur cumin belt; bio-stimulant for yield + bio-fungicide for quality; spice export compliance","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Barmer Horticulture Producer Company Ltd.","Barmer – Barmer District","Pomegranate, Cumin, Isabgol (Psyllium)","Input procurement; aggregation; export linkage","Arid zone pomegranate + isabgol; bio-stimulant for abiotic stress; isabgol export value chain","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Sikar Vegetable Farmer Producer Company Ltd.","Sikar – Sikar District","Tomato, Onion, Mustard, Fenugreek","Aggregation; input procurement; market linkage","Vegetable + spice mix; bio-fungicide for onion + bio-stimulant for fenugreek; export spice cluster","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Jaipur Horticulture Producer Company Ltd.","Jaipur – Jaipur District","Tomato, Onion, Rose (flowers)","Input procurement; market linkage; flower aggregation","Peri-urban vegetable + floriculture; bio-stimulant for rose quality + bio-pesticide for pest management","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Ajmer Vegetable & Spice Producer Company Ltd.","Ajmer – Ajmer District","Coriander, Garlic, Tomato, Onion","Input procurement; aggregation; spice export linkage","Commercial spice + vegetable district; bio-fungicide for coriander quality; bio-stimulant","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Udaipur Tribal Horticulture Producer Company Ltd.","Udaipur – Udaipur District","Maize, Tomato, Ginger, Vegetables","Tribal farmer aggregation; market linkage; input procurement","Tribal horticulture in Mewar; bio-stimulant for maize + bio-fertilizer program for marginal farmers","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Kota Horticulture Producer Company Ltd.","Kota – Kota District","Coriander, Garlic, Onion, Soybean","Input procurement; aggregation; market linkage","Hadoti coriander belt; bio-fungicide + bio-stimulant for coriander seed quality and export","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Alwar Vegetable Producer Company Ltd.","Alwar – Alwar District","Tomato, Cauliflower, Potato, Garlic","Input procurement; grading; linkage with Delhi-NCR mandis","Peri-urban high-density veg cluster near Delhi; bio-pesticide + bio-stimulant demonstrations","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Bhilwara Isabgol & Spice Producer Company Ltd.","Bhilwara – Bhilwara District","Isabgol, Coriander, Fenugreek","Aggregation; export linkage; input procurement","Isabgol export cluster; bio-stimulant for psyllium seed quality; residue-free for pharma export","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Sawai Madhopur Mustard & Horticulture FPC Ltd.","Sawai Madhopur – Sawai Madhopur District","Mustard, Tomato, Guava","Input procurement; aggregation; bio-input pilot","Eastern Rajasthan diversified crop FPO; bio-fertilizer + bio-stimulant cross-sell","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Churu Mustard Farmers Producer Company Ltd.","Churu – Churu District","Mustard, Gram, Isabgol","Bulk input procurement; aggregation; storage","Arid zone mustard + isabgol; Rhizobium for gram + bio-stimulant for mustard","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Dungarpur Tribal Vegetable FPC Ltd.","Dungarpur – Dungarpur District","Maize, Vegetables, Beans","Tribal aggregation; market linkage; input procurement","Southern Rajasthan tribal horticulture; bio-fertilizer adoption through CBBO-led program","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Bikaner Pomegranate & Vegetables Producer Company Ltd.","Bikaner – Bikaner District","Pomegranate, Cumin, Onion","Input procurement; aggregation; export linkage","Arid zone pomegranate + spice; bio-stimulant for water-use efficiency; export compliance","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Rajasthan","Tonk Horticulture & Pulses Producer Company Ltd.","Tonk – Tonk District","Coriander, Tomato, Mustard, Gram","Input procurement; aggregation; farmer training","Central Rajasthan spice + pulse FPO; Rhizobium + bio-stimulant cross-sell opportunity","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Rajasthan.pdf"
"Karnataka","Gadinadu Horticulture Farmers Producer Company Limited","Tumakuru – Tumakuru District","Pomegranate, Tomato","Collective input procurement; aggregation; market linkage for pomegranate export","Major pomegranate cluster; bio-fungicide (fruit borer, bacterial blight) + bio-stimulant for export-quality fruit; [SFAC-VERIFIED]","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Pavagada Horticulture Farmers Producer Company Limited","Tumakuru – Pavagada, Tumakuru District","Horticulture (Tomato, Onion, Vegetables)","Collective input procurement; aggregation; farmer training","Dryland horticulture cluster; bio-stimulant for abiotic stress + bio-pesticide for vegetable pests; [SFAC-VERIFIED]","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Kolar Grape Farmers Producer Company Ltd.","Kolar – Kolar District","Grapes, Tomato, Mulberry","Grape export aggregation; input procurement; residue testing","Kolar grape cluster; bio-pesticide MRL compliance for export; bio-stimulant for berry weight","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Chikkaballapur Horticulture Producer Company Ltd.","Chikkaballapur – Chikkaballapur District","Tomato, Grapes, Beans, Vegetables","Aggregation; cold chain; input procurement","Silicon Valley of horticulture near Bengaluru; bio-stimulant + bio-pesticide for premium veg","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Hassan Coffee & Spice Producer Company Ltd.","Hassan – Hassan District","Coffee, Cardamom, Ginger, Pepper","Collective input procurement; coffee curing; spice export","Western Ghats spice+coffee cluster; bio-fungicide for coffee leaf rust + bio-stimulant for cardamom","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Dharwad Horticulture Farmers Producer Company Ltd.","Dharwad – Dharwad District","Pomegranate, Guava, Vegetables","Input procurement; aggregation; market linkage","North Karnataka commercial horticulture; bio-stimulant + bio-fungicide for pomegranate and guava","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
